HM_Si,O2_Blow,BLOW_LIME_MATWEIGHT_Combined,BLOW_IRONOR_MATWEIGHT_Combined,BLOW_DOLO_MATWEIGHT_Combined,BIN2_RELATIVE_LANCE_HEIGHT,BIN3_RELATIVE_LANCE_HEIGHT,Delta_Carbon_Weight,BIN2_SECVENTURIOPENING,HM Temp_Combined,RefractoryLife_Combined,Delta_HM_Bath_Temp,ACTOXYGENMOMENT_DOLO,PreviousHeat_BathTemp,HM_Weight,Total_Scrap,loss_radiation_hm,loss_convection_hm,loss_radiation_vessel,loss_convection_vessel
0.77,14514,21364,14016,4795,244.2,244.933,14044.18216,33.638,1388,827,287,1444,1660,295,26.4,7.42E+13,27195.26102,8.27E+15,1777396.271
0.55,15728,22282,10866,5125,255.029,238.345,14852.6454,31.938,1377,2929,311,2879,1654,313,25.9,4.31E+13,16280.2861,1.28E+16,2783390.402
0.63,15572,21330,18031,5463,248.051,245.726,14688.17488,35.872,1387,831,285,1240,1700,308,25.05,4.44E+13,16387.2,2.05E+16,4126304.305
0.65,15601,23462,13350,5135,256.147,237.7,14930.40822,33.265,1340,2930,331,2928,1699,314,26.45,3.55E+13,14504.6,2.09E+16,4202248.759
0.56,15398,21337,15009,5105,255.311,236.695,14924.12076,33.83,1386,2931,300,2423,1689,313,25.8,4.80E+13,17656.06237,2.37E+16,4847234.345
0.5,15300,20348,15141,4766,244.54,242.2,14861.75408,51.702,1390,833,287,1753.5,1700,312,28.1,5.97E+13,21765.14983,2.14E+16,4276237.774
0.48,15366,21332,10317,5033,245.885,235.8,14840.73568,29.149,1350,2933,344,3421,1623,312,25.8,1.86E+14,73842.14069,1.91E+16,4388233.347
0.72,14470,20456,13045,5045,233.696,236.8,14293.77606,27.438,1380,2934,288,3005,1691,300,26.95,1.56E+14,57952.12763,7.33E+15,1487017.777
0.65,14784,19124,12386,7221,244.052,229.466,14481.23084,29.532,1358,836,308,1393,1620,304,26.95,2.04E+13,7981.576271,1.78E+16,4116252.28
0.64,14254,16627,1550,3251,244.243,239.18,14285.6848,31.875,1392,838,279,1416,1702,300,25.2,3.00E+13,10944.89356,3.06E+16,6122813.708
0.78,15526,20337,15004,5018,240.611,242.1,14625.16624,30.298,1412,841,276,1348,1690,305,24.3,1.11E+14,38948.60746,1.28E+17,26258856.85
0.52,14452,17132,9013,5624,246.988,244.425,14512.34218,28.688,1307,2943,355,2222,1650,300,26.75,3.79E+13,16715.02102,2.02E+16,4432251.949
0.4,15442,24678,8635,5045,252.845,242.995,14726.69164,30.915,1357,844,318,969,1668,306,26.65,6.78E+12,2673.394667,4.41E+16,9397348.451
0.52,15106,18612,5167,7991,249.751,234.321,14292.8524,25.426,1362,2951,310,4110,1622,295,26.15,1.38E+13,5354.262069,5.77E+16,13333953.09
