HM_Si,O2_Blow,BLOW_LIME_MATWEIGHT_Combined,BLOW_IRONOR_MATWEIGHT_Combined,BLOW_DOLO_MATWEIGHT_Combined,BIN2_RELATIVE_LANCE_HEIGHT,BIN3_RELATIVE_LANCE_HEIGHT,Delta_Carbon_Weight,BIN2_SECVENTURIOPENING,HM Temp_Combined,RefractoryLife_Combined,Delta_HM_Bath_Temp,ACTOXYGENMOMENT_DOLO,PreviousHeat_BathTemp,HM_Weight,Total_Scrap,loss_radiation_hm,loss_convection_hm,loss_radiation_vessel,loss_convection_vessel
0.63,14960,18189,12043,5490,244.321,255.95,14128.59446,38.5,1359,1406,279,3403,1631,300,25.75,658000000000000,255803,58400000000000000,13180690
0.63,14124,17356,14706,5169,247.008,251.454,13970.64568,41.854,1358,1408,326,1387,1671,296,25.5,296000000000000,115738,8020000000000000,1690719
0.63,14638,19531,10612,7140,232.36,245.688,14515.56472,42.204,1300,398,352,1369,1601,308,25.8,268000000000000,119684,4250000000000000,1019524
0.69,14611,18776,11497,5580,233.339,245.688,14370.46522,41.592,1320,399,347,1625,1643,304,24.95,240000000000000,102234,7980000000000000,1770260
0.77,14795,19383,13720,5035,245.033,248.047,14590.7647,40.347,1398,403,254,1996,1663,308,26.65,397000000000000,143034,29000000000000000,6209451
0.62,14505,18424,13773,5107,241.946,243.531,14236.58576,41.667,1370,404,294,2610,1675,300,27.15,240000000000000,91571,11000000000000000,2318424
0.55,14979,17637,9016,6302,247.105,256.48,14331.2672,35.229,1292,1411,357,781,1610,305,24.6,100000000000000,45542,10500000000000000,2469360
1,15368,25665,13507,5457,246.383,256.195,14430.60036,37.958,1334,407,323,1271,1694,306,25.1,352000000000000,144255,36200000000000000,7304668
0.86,15649,21000,10321,5528,255.48,257.48,14426.11124,26.979,1314,1412,369,1339,1657,306,25.25,286000000000000,122723,82600000000000000,17774842
0.76,14991,20769,10251,6025,240.337,244.375,14301.32846,32.061,1311,1413,366,1336,1676,304,24.35,322000000000000,138902,8100000000000000,1682809
0.74,14094,21199,13937,6183,240.231,242.16,13806.16696,36.688,1366,1418,323,6258.667,1672,293,24.6,268000000000000,102960,16000000000000000,3363085
1.03,14279,23683,17713,5325,239.481,242.642,14068.30852,38.229,1373,1419,295,8119,1674,300,25.2,288000000000000,108876,4610000000000000,966838
0.96,14465,23719,16185,4745,242.725,243.293,14113.92928,44.633,1361,1420,303,1407,1666,299,25.1,185000000000000,72060,10500000000000000,2225904
0.68,14957,22488,17319,4441,244.502,237.585,14376.64328,51.354,1365,1424,283,1806,1675,302,26.95,177000000000000,68378,12900000000000000,2695136
0.72,15096,22520,15756,4453,244.585,235.931,14130.66548,44.646,1370,1426,295,2517.5,1657,300,26.3,88100000000000,33666,3970000000000000,859440
0.82,15359,22096,17041,4253,248.001,251.585,14719.65208,48.354,1395,1429,290,1326,1655,311,25.4,197000000000000,71376,13600000000000000,2965178
0.71,16840,21000,12643,4888,253.383,265.748,14757.03378,31.021,1391,408,288,1243,1705,311,25.95,176000000000000,64113,459000000000000000,91106553
0.81,14529,21440,17018,4446,244.45,241.835,14084.50644,45.833,1348,1431,347,3415,1700,296,24.85,75900000000000,30315,30100000000000000,6020299
0.8,15394,21602,16937,5192,243.447,252.596,14052.74356,40.896,1371,409,284,2846,1648,296,25.9,38900000000000,14752,16200000000000000,3560147
0.65,14760,19656,15543,3732,244.513,240.43,14853.7588,38.917,1406,1435,253,2505.5,1639,314,25.35,211000000000000,73920,5100000000000000,1131740
0.56,14897,22251,9397,5565,241.096,239.613,14206.70356,42.714,1370,415,306,1295,1632,301,26.7,187000000000000,71240,4830000000000000,1093625
0.61,15347,18862,12084,4865,240.41,232.541,14114.94786,33.122,1318,1445,339,2515,1645,297,20.95,211000000000000,89680,29200000000000000,6404303
0.81,17375,22364,16839,5056,240.091,236.403,14092.84364,40.854,1377,1448,312,1018,1676,298,22.7,68300000000000,25605,17900000000000000,3733735
0.58,14469,20348,8526,3329,238.694,247.417,14173.61804,40.604,1376,424,281,1304,1709,300,21.3,190000000000000,71447,8230000000000000,1621693
0.52,14637,21604,10085,3282,238.195,250.534,13825.46492,41.313,1354,1452,329,1378,1646,294,21.65,417000000000000,164730,7640000000000000,1686366
0.44,14523,14282,9027,4847,252.279,253.608,13903.6196,35.271,1320,1454,342,1311,1662,295,25,452000000000000,192508,57000000000000000,12213047
0.48,14923,16268,8401,5219,250.048,266.09,13648.542,29.063,1357,429,339,1215,1635,291,25.15,37300000000000,14591,25000000000000000,5623044
0.46,14860,15896,10011,6158,248.55,262.425,14045.23228,33.042,1374,430,288,1226,1693,300,25.45,139000000000000,52393,6580000000000000,1331259
0.58,14853,16607,13509,5121,254.738,258.967,14639.82968,32.604,1371,431,303,1209,1695,310,24.9,113000000000000,42794,11000000000000000,2214321
0.47,14974,14972,12802,4829,246.467,255.05,14563.3324,36.688,1355,432,327,1196,1652,308,26.35,121000000000000,47493,7370000000000000,1599408
0.45,13957,14736,13912,4875,248.467,237.411,13990.04996,39.938,1344,1457,332,1824,1653,297,24.6,39200000000000,15677,19100000000000000,4134532
0.61,13723,17079,14457,4496,243.592,243.05,14029.41188,31.313,1354,1458,321,1942,1626,295,24.85,30200000000000,11865,18000000000000000,4092873
0.78,14331,20409,16515,5636,243.967,246.209,14041.88788,36.188,1358,1459,310,409,1647,298,24.85,37400000000000,14580,6000000000000000,1315446
0.7,14335,18386,12563,5642,243.863,245.8,14089.00236,31.563,1359,1460,302,1288,1659,298,24.65,10200000000000,3983,25500000000000000,5480336
0.78,14610,18039,12531,5068,239.821,229.8,13681.04816,36.083,1350,1461,337,3514,1676,290,25.1,113000000000000,44870,18800000000000000,3922553
